port,packet_count,byte_count,packet_fraction,byte_fraction
2251,2238,130752,3.3360721422291517e-06,8.991560116781861e-07
2106,2237,130704,3.334581493372034e-06,8.988259250366009e-07
2126,2237,130704,3.334581493372034e-06,8.988259250366009e-07
2179,2237,130704,3.334581493372034e-06,8.988259250366009e-07
2191,2237,130704,3.334581493372034e-06,8.988259250366009e-07
2045,2236,130644,3.3330908445149166e-06,8.984133167346194e-07
2065,2236,130644,3.3330908445149166e-06,8.984133167346194e-07
2111,2236,130644,3.3330908445149166e-06,8.984133167346194e-07
2119,2236,130644,3.3330908445149166e-06,8.984133167346194e-07
2135,2236,130644,3.3330908445149166e-06,8.984133167346194e-07
2170,2236,130644,3.3330908445149166e-06,8.984133167346194e-07
2190,2236,130644,3.3330908445149166e-06,8.984133167346194e-07
